,Id,Student_id,Professor_id,Area,Title
0,1,9206,68,Human Computer Interaction,Human Computer Interaction 85
1,2,4274,11,Cluster Computing,Cluster Computing 58
2,3,3695,86,Memory Analysis,Memory Analysis 77
3,4,492,152,Human Computer Interaction,Human Computer Interaction 35
4,5,5067,86,CPU Analysis,CPU Analysis 62
5,6,7280,4,Compilers,Compilers 24
6,7,1041,67,Human Computer Interaction,Human Computer Interaction 35
7,8,8558,164,Algorithms Analysis,Algorithms Analysis 1
8,9,4385,99,Autonomus Multi-Robot,Autonomus Multi-Robot 63
9,10,3187,13,Security,Security 99
10,11,6091,52,Semantic Web,Semantic Web 5
11,12,1416,66,Autonomous Robotics,Autonomous Robotics 43
12,13,9350,33,Drivers,Drivers 96
13,14,4176,77,Autonomus Multi-Robot,Autonomus Multi-Robot 74
14,15,4228,182,Semantic Web,Semantic Web 86
15,16,8886,93,Autonomus Multi-Robot,Autonomus Multi-Robot 55
16,17,5263,117,Grid Computing,Grid Computing 98
17,18,9455,129,Containers,Containers 79
18,19,5468,145,Machine Learning,Machine Learning 87
19,20,4862,52,Semantic Web,Semantic Web 78
20,21,9988,139,NLP,NLP 19
21,22,96,132,Operating Systems,Operating Systems 38
22,23,261,120,Algorithms Analysis,Algorithms Analysis 37
23,24,2092,140,NLP,NLP 89
24,25,390,172,Artifficial Intelligence,Artifficial Intelligence 49
25,26,9489,77,Autonomus Multi-Robot,Autonomus Multi-Robot 72
26,27,5450,2,Artifficial Intelligence,Artifficial Intelligence 88
27,28,5707,99,Autonomus Multi-Robot,Autonomus Multi-Robot 54
28,29,3802,87,Semantic Web,Semantic Web 9
29,30,7808,1,Operating Systems,Operating Systems 1
30,31,2458,37,CPU Analysis,CPU Analysis 73
31,32,3764,53,Containers,Containers 77
32,33,8278,99,Autonomus Multi-Robot,Autonomus Multi-Robot 18
33,34,2790,113,Operating Systems,Operating Systems 76
34,35,8970,95,Algorithms Analysis,Algorithms Analysis 71
35,36,4760,126,Memory Analysis,Memory Analysis 4
36,37,5980,95,Machine Learning,Machine Learning 53
37,38,5009,14,Drivers,Drivers 12
38,39,1315,141,Memory Analysis,Memory Analysis 66
39,40,6441,159,Memory Analysis,Memory Analysis 17
40,41,6031,49,Animation,Animation 37
41,42,548,37,Memory Analysis,Memory Analysis 82
42,43,4904,1,Operating Systems,Operating Systems 43
43,44,2642,82,Big Data,Big Data 20
44,45,4141,153,Machine Learning,Machine Learning 90
45,46,1540,31,Security,Security 92
46,47,1563,8,Algorithms Analysis,Algorithms Analysis 36
47,48,9976,73,Machine Learning,Machine Learning 4
48,49,6476,93,Autonomous Robotics,Autonomous Robotics 91
49,50,1696,113,Security,Security 10
50,51,7731,115,Animation,Animation 2
51,52,8840,14,Security,Security 65
52,53,2855,105,Big Data,Big Data 16
53,54,5795,75,Security,Security 93
54,55,6532,80,Artifficial Intelligence,Artifficial Intelligence 67
55,56,7906,192,CPU Analysis,CPU Analysis 74
56,57,7774,91,Human Computer Interaction,Human Computer Interaction 84
57,58,9379,47,Drivers,Drivers 24
58,59,4128,8,Algorithms Analysis,Algorithms Analysis 33
59,60,7754,47,Compilers,Compilers 7
60,61,404,24,Containers,Containers 58
61,62,6677,167,Autonomus Multi-Robot,Autonomus Multi-Robot 27
62,63,5471,177,Operating Systems,Operating Systems 6
63,64,7751,122,Artifficial Intelligence,Artifficial Intelligence 78
64,65,4574,34,Artifficial Intelligence,Artifficial Intelligence 22
65,66,3738,40,Semantic Web,Semantic Web 67
66,67,7201,64,Autonomous Robotics,Autonomous Robotics 60
67,68,8922,20,Unity Games,Unity Games 54
68,69,3414,130,Compilers,Compilers 50
69,70,7965,45,Operating Systems,Operating Systems 35
70,71,519,126,CPU Analysis,CPU Analysis 63
71,72,7934,76,Machine Learning,Machine Learning 82
72,73,1517,186,Operating Systems,Operating Systems 32
73,74,582,172,Machine Learning,Machine Learning 19
74,75,5026,60,Autonomus Multi-Robot,Autonomus Multi-Robot 75
75,76,4627,143,CPU Analysis,CPU Analysis 80
76,77,6522,157,Semantic Web,Semantic Web 91
77,78,359,196,Autonomous Robotics,Autonomous Robotics 4
78,79,9635,84,CPU Analysis,CPU Analysis 32
79,80,3391,110,Artifficial Intelligence,Artifficial Intelligence 23
80,81,9878,117,Big Data,Big Data 1
81,82,9653,156,NLP,NLP 85
82,83,2783,159,CPU Analysis,CPU Analysis 58
83,84,1220,88,Semantic Web,Semantic Web 54
84,85,4182,168,Drivers,Drivers 4
85,86,1600,23,Operating Systems,Operating Systems 34
86,87,6942,79,Algorithms Analysis,Algorithms Analysis 96
87,88,9451,173,Big Data,Big Data 88
88,89,5616,115,Animation,Animation 55
89,90,4212,187,Autonomus Multi-Robot,Autonomus Multi-Robot 53
90,91,6078,134,Memory Analysis,Memory Analysis 97
91,92,2762,111,Memory Analysis,Memory Analysis 70
92,93,6930,45,Compilers,Compilers 92
93,94,5213,46,CPU Analysis,CPU Analysis 38
94,95,8953,137,Autonomous Robotics,Autonomous Robotics 97
95,96,2215,182,Semantic Web,Semantic Web 99
96,97,9085,21,Semantic Web,Semantic Web 2
97,98,2709,179,NLP,NLP 60
98,99,2852,137,Autonomus Multi-Robot,Autonomus Multi-Robot 14
99,100,2877,171,Autonomus Multi-Robot,Autonomus Multi-Robot 69
100,101,5625,131,Autonomous Robotics,Autonomous Robotics 53
101,102,6988,128,Human Computer Interaction,Human Computer Interaction 58
102,103,1355,6,Algorithms Analysis,Algorithms Analysis 74
103,104,5040,10,CPU Analysis,CPU Analysis 73
104,105,3846,152,Human Computer Interaction,Human Computer Interaction 13
105,106,2420,126,Memory Analysis,Memory Analysis 86
106,107,445,14,Compilers,Compilers 78
107,108,2410,45,Security,Security 87
108,109,1605,91,Human Computer Interaction,Human Computer Interaction 74
109,110,4281,168,Drivers,Drivers 92
110,111,5638,69,Security,Security 61
111,112,1385,144,Animation,Animation 30
112,113,4241,77,Autonomous Robotics,Autonomous Robotics 21
113,114,4217,48,Animation,Animation 63
114,115,8519,71,Machine Learning,Machine Learning 69
115,116,3686,125,Memory Analysis,Memory Analysis 93
116,117,3584,157,Semantic Web,Semantic Web 14
117,118,5633,167,Autonomous Robotics,Autonomous Robotics 72
118,119,6456,98,Semantic Web,Semantic Web 51
119,120,8459,183,Artifficial Intelligence,Artifficial Intelligence 71
120,121,4166,191,Animation,Animation 2
121,122,1663,80,Machine Learning,Machine Learning 92
122,123,4222,6,Artifficial Intelligence,Artifficial Intelligence 30
123,124,3565,100,Memory Analysis,Memory Analysis 58
124,125,31,124,Autonomus Multi-Robot,Autonomus Multi-Robot 14
125,126,6551,152,Human Computer Interaction,Human Computer Interaction 62
126,127,1219,76,Machine Learning,Machine Learning 2
127,128,6759,52,Human Computer Interaction,Human Computer Interaction 24
128,129,9480,97,Modelling,Modelling 6
129,130,8829,139,Human Computer Interaction,Human Computer Interaction 52
130,131,5004,22,Human Computer Interaction,Human Computer Interaction 20
131,132,5949,124,Autonomous Robotics,Autonomous Robotics 79
132,133,1288,65,Memory Analysis,Memory Analysis 83
133,134,3868,115,Animation,Animation 1
134,135,3759,29,Autonomus Multi-Robot,Autonomus Multi-Robot 48
135,136,6935,101,Semantic Web,Semantic Web 80
136,137,8663,157,Human Computer Interaction,Human Computer Interaction 71
137,138,8155,200,Autonomous Robotics,Autonomous Robotics 14
138,139,410,134,CPU Analysis,CPU Analysis 60
139,140,1437,48,Animation,Animation 84
140,141,2191,200,Autonomus Multi-Robot,Autonomus Multi-Robot 99
141,142,6465,181,CPU Analysis,CPU Analysis 7
142,143,740,40,Semantic Web,Semantic Web 36
143,144,2096,136,CPU Analysis,CPU Analysis 33
144,145,1614,111,Memory Analysis,Memory Analysis 2
145,146,5258,79,Machine Learning,Machine Learning 92
146,147,8342,70,Containers,Containers 77
147,148,65,166,CPU Analysis,CPU Analysis 46
148,149,5204,192,Memory Analysis,Memory Analysis 57
149,150,3780,117,Cluster Computing,Cluster Computing 93
150,151,8130,181,Memory Analysis,Memory Analysis 31
151,152,1799,95,Artifficial Intelligence,Artifficial Intelligence 49
152,153,8654,39,Operating Systems,Operating Systems 52
153,154,9303,66,Autonomus Multi-Robot,Autonomus Multi-Robot 52
154,155,4019,119,NLP,NLP 34
155,156,5460,75,Security,Security 70
156,157,9789,123,Human Computer Interaction,Human Computer Interaction 43
157,158,6181,93,Autonomus Multi-Robot,Autonomus Multi-Robot 51
158,159,1833,178,Autonomous Robotics,Autonomous Robotics 57
159,160,4159,42,Memory Analysis,Memory Analysis 48
160,161,6269,171,Autonomus Multi-Robot,Autonomus Multi-Robot 66
161,162,7465,29,Autonomus Multi-Robot,Autonomus Multi-Robot 91
162,163,3233,10,CPU Analysis,CPU Analysis 95
163,164,1572,56,Autonomus Multi-Robot,Autonomus Multi-Robot 17
164,165,6938,143,CPU Analysis,CPU Analysis 19
165,166,5899,79,Algorithms Analysis,Algorithms Analysis 23
166,167,9500,87,Semantic Web,Semantic Web 14
167,168,6695,134,Memory Analysis,Memory Analysis 59
168,169,3434,5,Machine Learning,Machine Learning 55
169,170,91,105,Containers,Containers 58
170,171,3668,146,Operating Systems,Operating Systems 65
171,172,3172,173,Grid Computing,Grid Computing 45
172,173,9901,31,Drivers,Drivers 9
173,174,8077,112,Autonomus Multi-Robot,Autonomus Multi-Robot 46
174,175,2801,112,Autonomus Multi-Robot,Autonomus Multi-Robot 3
175,176,5438,72,Modelling,Modelling 12
176,177,2853,7,Containers,Containers 2
177,178,7158,186,Security,Security 27
178,179,6343,146,Operating Systems,Operating Systems 98
179,180,7868,166,CPU Analysis,CPU Analysis 11
180,181,1674,4,Drivers,Drivers 32
181,182,8599,193,Operating Systems,Operating Systems 70
182,183,9991,93,Autonomus Multi-Robot,Autonomus Multi-Robot 79
183,184,6714,41,Unity Games,Unity Games 71
184,185,5267,104,Semantic Web,Semantic Web 49
185,186,9628,133,NLP,NLP 51
186,187,9617,5,Artifficial Intelligence,Artifficial Intelligence 81
187,188,6288,160,Security,Security 77
188,189,5110,186,Operating Systems,Operating Systems 59
189,190,6823,102,Memory Analysis,Memory Analysis 35
190,191,3322,137,Autonomous Robotics,Autonomous Robotics 37
191,192,3729,48,Animation,Animation 64
192,193,8845,177,Security,Security 75
193,194,3888,41,Modelling,Modelling 64
194,195,9858,156,Semantic Web,Semantic Web 62
195,196,5830,99,Autonomus Multi-Robot,Autonomus Multi-Robot 11
196,197,6314,141,CPU Analysis,CPU Analysis 84
197,198,9357,152,NLP,NLP 7
198,199,9429,51,Animation,Animation 79
199,200,4971,140,Semantic Web,Semantic Web 71
200,201,6828,96,Drivers,Drivers 60
201,202,2544,56,Autonomous Robotics,Autonomous Robotics 70
202,203,7403,95,Algorithms Analysis,Algorithms Analysis 6
203,204,1188,8,Machine Learning,Machine Learning 22
204,205,240,40,NLP,NLP 5
205,206,8259,200,Autonomus Multi-Robot,Autonomus Multi-Robot 26
206,207,5837,169,Autonomous Robotics,Autonomous Robotics 54
207,208,3113,41,Animation,Animation 98
208,209,1319,147,Algorithms Analysis,Algorithms Analysis 12
209,210,2513,119,Human Computer Interaction,Human Computer Interaction 71
210,211,6147,156,NLP,NLP 56
211,212,9223,34,Machine Learning,Machine Learning 26
212,213,4655,29,Autonomus Multi-Robot,Autonomus Multi-Robot 94
213,214,1654,2,Artifficial Intelligence,Artifficial Intelligence 20
214,215,9207,149,Autonomus Multi-Robot,Autonomus Multi-Robot 56
215,216,433,125,Memory Analysis,Memory Analysis 99
216,217,639,127,Drivers,Drivers 18
217,218,9037,149,Autonomous Robotics,Autonomous Robotics 94
218,219,9915,9,CPU Analysis,CPU Analysis 63
219,220,3823,144,Animation,Animation 20
220,221,1670,155,Human Computer Interaction,Human Computer Interaction 61
221,222,8699,197,Algorithms Analysis,Algorithms Analysis 13
222,223,7865,155,Semantic Web,Semantic Web 20
223,224,2211,38,Semantic Web,Semantic Web 17
224,225,7787,97,Unity Games,Unity Games 71
225,226,3777,74,Artifficial Intelligence,Artifficial Intelligence 18
226,227,2669,182,NLP,NLP 47
227,228,3387,127,Security,Security 41
228,229,1280,172,Artifficial Intelligence,Artifficial Intelligence 26
229,230,7497,147,Artifficial Intelligence,Artifficial Intelligence 98
230,231,2779,146,Compilers,Compilers 52
231,232,604,199,Modelling,Modelling 48
232,233,7768,135,Compilers,Compilers 28
233,234,477,31,Operating Systems,Operating Systems 55
234,235,2320,182,NLP,NLP 87
235,236,8343,127,Security,Security 41
236,237,8653,43,Security,Security 9
237,238,9669,65,Memory Analysis,Memory Analysis 67
238,239,2624,162,Security,Security 85
239,240,4197,65,Memory Analysis,Memory Analysis 33
240,241,6482,30,Animation,Animation 85
241,242,8797,193,Compilers,Compilers 7
242,243,8741,65,CPU Analysis,CPU Analysis 88
243,244,2064,58,Grid Computing,Grid Computing 44
244,245,7845,44,Animation,Animation 89
245,246,954,101,Human Computer Interaction,Human Computer Interaction 77
246,247,2848,48,Animation,Animation 27
247,248,573,103,NLP,NLP 63
248,249,3599,78,Autonomous Robotics,Autonomous Robotics 18
249,250,8067,43,Operating Systems,Operating Systems 67
250,251,8185,75,Operating Systems,Operating Systems 18
251,252,4630,66,Autonomous Robotics,Autonomous Robotics 48
252,253,3648,188,Memory Analysis,Memory Analysis 1
253,254,3256,69,Compilers,Compilers 59
254,255,2507,128,Human Computer Interaction,Human Computer Interaction 47
255,256,4650,94,NLP,NLP 20
256,257,4030,65,Memory Analysis,Memory Analysis 4
257,258,6943,55,Semantic Web,Semantic Web 24
258,259,3309,169,Autonomus Multi-Robot,Autonomus Multi-Robot 49
259,260,1491,83,Memory Analysis,Memory Analysis 64
260,261,9382,42,Memory Analysis,Memory Analysis 78
261,262,3136,138,Algorithms Analysis,Algorithms Analysis 85
262,263,349,128,Human Computer Interaction,Human Computer Interaction 30
263,264,5524,109,Machine Learning,Machine Learning 100
264,265,8163,157,NLP,NLP 68
265,266,1823,166,Memory Analysis,Memory Analysis 4
266,267,8632,81,Containers,Containers 99
267,268,7638,3,Compilers,Compilers 13
268,269,5102,85,Autonomous Robotics,Autonomous Robotics 97
269,270,3290,171,Autonomous Robotics,Autonomous Robotics 75
270,271,6501,145,Artifficial Intelligence,Artifficial Intelligence 5
271,272,1977,182,NLP,NLP 27
272,273,909,187,Autonomous Robotics,Autonomous Robotics 38
273,274,9742,163,Cluster Computing,Cluster Computing 15
274,275,16,78,Autonomous Robotics,Autonomous Robotics 87
275,276,3789,65,Memory Analysis,Memory Analysis 30
276,277,1316,21,Human Computer Interaction,Human Computer Interaction 15
277,278,4087,35,Memory Analysis,Memory Analysis 76
278,279,9312,33,Operating Systems,Operating Systems 94
279,280,6237,87,NLP,NLP 8
280,281,5187,83,Memory Analysis,Memory Analysis 20
281,282,6157,147,Artifficial Intelligence,Artifficial Intelligence 70
282,283,9914,102,CPU Analysis,CPU Analysis 43
283,284,8985,63,Unity Games,Unity Games 14
284,285,4704,18,Drivers,Drivers 90
285,286,6881,105,Big Data,Big Data 63
286,287,2294,197,Algorithms Analysis,Algorithms Analysis 93
287,288,3923,58,Containers,Containers 68
288,289,5853,81,Big Data,Big Data 22
289,290,5494,102,CPU Analysis,CPU Analysis 80
290,291,2539,86,Memory Analysis,Memory Analysis 4
291,292,9826,113,Drivers,Drivers 30
292,293,93,75,Security,Security 15
293,294,3962,65,Memory Analysis,Memory Analysis 60
