,Id,Student_id,Professor_id,Area,Title
0,1,7977,2,Artifficial Intelligence,Artifficial Intelligence 64
1,2,8018,143,CPU Analysis,CPU Analysis 86
2,3,5927,173,Containers,Containers 66
3,4,9425,38,Human Computer Interaction,Human Computer Interaction 66
4,5,2348,61,Machine Learning,Machine Learning 32
5,6,9486,40,Human Computer Interaction,Human Computer Interaction 11
6,7,2891,135,Security,Security 10
7,8,1439,171,Autonomus Multi-Robot,Autonomus Multi-Robot 100
8,9,9751,177,Drivers,Drivers 90
9,10,1435,125,Memory Analysis,Memory Analysis 49
10,11,8029,186,Compilers,Compilers 40
11,12,8345,142,Compilers,Compilers 96
12,13,6885,185,Animation,Animation 77
13,14,1340,63,Modelling,Modelling 83
14,15,22,186,Operating Systems,Operating Systems 18
15,16,3207,96,Compilers,Compilers 55
16,17,2466,113,Operating Systems,Operating Systems 45
17,18,7413,41,Animation,Animation 100
18,19,6325,79,Machine Learning,Machine Learning 94
19,20,5473,131,Autonomus Multi-Robot,Autonomus Multi-Robot 24
20,21,7130,47,Security,Security 89
21,22,7043,31,Compilers,Compilers 66
22,23,7216,136,CPU Analysis,CPU Analysis 99
23,24,4671,136,CPU Analysis,CPU Analysis 53
24,25,5665,68,Semantic Web,Semantic Web 71
25,26,4846,107,CPU Analysis,CPU Analysis 32
26,27,119,107,CPU Analysis,CPU Analysis 31
27,28,396,193,Compilers,Compilers 84
28,29,3511,145,Artifficial Intelligence,Artifficial Intelligence 25
29,30,5364,30,Animation,Animation 13
30,31,6642,24,Containers,Containers 57
31,32,3980,48,Animation,Animation 7
32,33,4708,53,Big Data,Big Data 61
33,34,2477,2,Machine Learning,Machine Learning 3
34,35,445,72,Modelling,Modelling 26
35,36,3267,81,Big Data,Big Data 95
36,37,2178,77,Autonomous Robotics,Autonomous Robotics 44
37,38,8958,199,Modelling,Modelling 31
38,39,2845,149,Autonomous Robotics,Autonomous Robotics 20
39,40,3863,124,Autonomus Multi-Robot,Autonomus Multi-Robot 47
40,41,1020,159,Memory Analysis,Memory Analysis 51
41,42,5291,115,Unity Games,Unity Games 87
42,43,7208,17,Cluster Computing,Cluster Computing 93
43,44,1483,33,Compilers,Compilers 67
44,45,1587,133,Human Computer Interaction,Human Computer Interaction 87
45,46,1953,42,Memory Analysis,Memory Analysis 91
46,47,2589,139,Human Computer Interaction,Human Computer Interaction 18
47,48,8716,74,Machine Learning,Machine Learning 97
48,49,9785,179,Human Computer Interaction,Human Computer Interaction 42
49,50,8252,60,Autonomus Multi-Robot,Autonomus Multi-Robot 87
50,51,5805,40,NLP,NLP 56
51,52,3319,72,Modelling,Modelling 49
52,53,2473,30,Unity Games,Unity Games 58
53,54,7298,125,CPU Analysis,CPU Analysis 76
54,55,4309,192,CPU Analysis,CPU Analysis 2
55,56,3063,159,Memory Analysis,Memory Analysis 26
56,57,9937,116,Human Computer Interaction,Human Computer Interaction 56
57,58,613,95,Algorithms Analysis,Algorithms Analysis 44
58,59,2537,93,Autonomous Robotics,Autonomous Robotics 45
59,60,2629,99,Autonomous Robotics,Autonomous Robotics 28
60,61,3671,36,Autonomous Robotics,Autonomous Robotics 96
61,62,3235,76,Artifficial Intelligence,Artifficial Intelligence 2
62,63,6889,100,Memory Analysis,Memory Analysis 93
63,64,1123,193,Operating Systems,Operating Systems 42
64,65,1709,64,Autonomous Robotics,Autonomous Robotics 25
65,66,907,143,Memory Analysis,Memory Analysis 51
66,67,4068,146,Compilers,Compilers 80
67,68,9564,67,Semantic Web,Semantic Web 97
68,69,1235,44,Modelling,Modelling 39
69,70,8015,160,Security,Security 64
70,71,1671,145,Machine Learning,Machine Learning 46
71,72,1904,24,Containers,Containers 13
72,73,9697,81,Containers,Containers 47
73,74,2892,193,Drivers,Drivers 76
74,75,5440,184,Cluster Computing,Cluster Computing 27
75,76,1527,88,Human Computer Interaction,Human Computer Interaction 100
76,77,6766,191,Animation,Animation 5
77,78,1193,47,Security,Security 16
78,79,3091,59,Algorithms Analysis,Algorithms Analysis 49
79,80,4753,34,Machine Learning,Machine Learning 99
80,81,343,90,Security,Security 1
81,82,8292,33,Security,Security 22
82,83,9138,162,Drivers,Drivers 39
83,84,5967,150,Human Computer Interaction,Human Computer Interaction 12
84,85,5539,84,CPU Analysis,CPU Analysis 25
85,86,2398,60,Autonomous Robotics,Autonomous Robotics 5
86,87,4311,22,Human Computer Interaction,Human Computer Interaction 22
87,88,6712,58,Cluster Computing,Cluster Computing 43
88,89,3510,83,CPU Analysis,CPU Analysis 16
89,90,7024,106,Modelling,Modelling 53
90,91,8440,134,Memory Analysis,Memory Analysis 2
91,92,7312,35,CPU Analysis,CPU Analysis 39
92,93,3619,78,Autonomus Multi-Robot,Autonomus Multi-Robot 90
93,94,1126,154,Human Computer Interaction,Human Computer Interaction 15
94,95,2260,183,Algorithms Analysis,Algorithms Analysis 21
95,96,2080,191,Unity Games,Unity Games 49
96,97,1745,101,Semantic Web,Semantic Web 97
97,98,4529,162,Operating Systems,Operating Systems 29
98,99,6239,131,Autonomous Robotics,Autonomous Robotics 28
99,100,6764,35,Memory Analysis,Memory Analysis 52
100,101,2774,60,Autonomus Multi-Robot,Autonomus Multi-Robot 62
101,102,8233,140,NLP,NLP 75
102,103,130,90,Compilers,Compilers 45
103,104,2253,111,Memory Analysis,Memory Analysis 80
104,105,4160,10,Memory Analysis,Memory Analysis 84
105,106,5560,105,Big Data,Big Data 61
106,107,5441,50,Human Computer Interaction,Human Computer Interaction 20
107,108,856,151,Human Computer Interaction,Human Computer Interaction 68
108,109,7037,187,Autonomous Robotics,Autonomous Robotics 26
109,110,7887,61,Algorithms Analysis,Algorithms Analysis 33
110,111,1836,38,NLP,NLP 8
111,112,5022,20,Unity Games,Unity Games 53
112,113,934,37,CPU Analysis,CPU Analysis 33
113,114,7908,69,Drivers,Drivers 93
114,115,305,124,Autonomous Robotics,Autonomous Robotics 27
115,116,5547,4,Security,Security 54
116,117,650,67,Semantic Web,Semantic Web 5
117,118,4813,74,Algorithms Analysis,Algorithms Analysis 95
118,119,8452,136,CPU Analysis,CPU Analysis 33
119,120,1730,187,Autonomus Multi-Robot,Autonomus Multi-Robot 74
120,121,7225,9,CPU Analysis,CPU Analysis 5
121,122,6038,181,Memory Analysis,Memory Analysis 74
122,123,7201,150,Semantic Web,Semantic Web 47
123,124,8739,13,Drivers,Drivers 23
124,125,169,138,Artifficial Intelligence,Artifficial Intelligence 78
125,126,1109,1,Operating Systems,Operating Systems 90
126,127,2771,139,Semantic Web,Semantic Web 13
127,128,411,52,Semantic Web,Semantic Web 89
128,129,3448,94,NLP,NLP 31
129,130,8447,78,Autonomous Robotics,Autonomous Robotics 72
130,131,8626,136,Memory Analysis,Memory Analysis 13
131,132,5300,13,Drivers,Drivers 35
132,133,202,173,Big Data,Big Data 86
133,134,1651,5,Artifficial Intelligence,Artifficial Intelligence 45
134,135,3743,172,Machine Learning,Machine Learning 98
135,136,7558,92,Autonomous Robotics,Autonomous Robotics 35
136,137,9336,102,CPU Analysis,CPU Analysis 70
137,138,8768,45,Compilers,Compilers 3
138,139,4914,24,Containers,Containers 13
139,140,6293,149,Autonomus Multi-Robot,Autonomus Multi-Robot 96
140,141,3417,157,NLP,NLP 23
141,142,4262,94,Human Computer Interaction,Human Computer Interaction 56
142,143,9470,72,Animation,Animation 91
143,144,5305,161,Unity Games,Unity Games 54
144,145,7105,48,Modelling,Modelling 20
145,146,1925,109,Algorithms Analysis,Algorithms Analysis 38
146,147,2701,92,Autonomous Robotics,Autonomous Robotics 15
147,148,7391,85,Autonomous Robotics,Autonomous Robotics 19
148,149,5974,73,Algorithms Analysis,Algorithms Analysis 80
149,150,2173,128,NLP,NLP 48
150,151,7128,94,NLP,NLP 1
151,152,2184,199,Animation,Animation 74
152,153,5003,172,Artifficial Intelligence,Artifficial Intelligence 57
153,154,3745,160,Operating Systems,Operating Systems 89
154,155,3738,121,Machine Learning,Machine Learning 23
155,156,6189,117,Grid Computing,Grid Computing 3
156,157,9026,40,Semantic Web,Semantic Web 74
157,158,9787,95,Machine Learning,Machine Learning 48
158,159,3649,101,Human Computer Interaction,Human Computer Interaction 91
159,160,4811,14,Operating Systems,Operating Systems 59
160,161,4365,92,Autonomous Robotics,Autonomous Robotics 14
161,162,3367,65,Memory Analysis,Memory Analysis 39
162,163,394,104,NLP,NLP 62
163,164,5126,64,Autonomous Robotics,Autonomous Robotics 25
164,165,7321,50,NLP,NLP 13
165,166,7805,136,CPU Analysis,CPU Analysis 32
166,167,7142,32,Memory Analysis,Memory Analysis 52
167,168,6944,15,Unity Games,Unity Games 63
168,169,858,144,Unity Games,Unity Games 53
169,170,2941,176,Unity Games,Unity Games 46
170,171,4045,5,Machine Learning,Machine Learning 73
171,172,3250,31,Drivers,Drivers 23
172,173,9717,112,Autonomus Multi-Robot,Autonomus Multi-Robot 83
173,174,1581,103,Semantic Web,Semantic Web 11
174,175,9701,164,Algorithms Analysis,Algorithms Analysis 61
175,176,6656,25,NLP,NLP 86
176,177,3842,185,Animation,Animation 47
177,178,8763,21,NLP,NLP 17
178,179,5498,162,Drivers,Drivers 13
179,180,2501,41,Unity Games,Unity Games 60
180,181,9177,100,CPU Analysis,CPU Analysis 12
181,182,5491,89,Modelling,Modelling 65
182,183,9694,70,Grid Computing,Grid Computing 87
183,184,7717,168,Drivers,Drivers 17
184,185,8523,38,Semantic Web,Semantic Web 100
185,186,4189,175,Algorithms Analysis,Algorithms Analysis 61
186,187,1759,71,Artifficial Intelligence,Artifficial Intelligence 38
187,188,5087,30,Modelling,Modelling 81
188,189,2637,197,Machine Learning,Machine Learning 72
189,190,739,194,Containers,Containers 36
190,191,3810,70,Cluster Computing,Cluster Computing 3
191,192,6275,73,Algorithms Analysis,Algorithms Analysis 97
192,193,9390,77,Autonomus Multi-Robot,Autonomus Multi-Robot 68
193,194,8659,95,Artifficial Intelligence,Artifficial Intelligence 9
194,195,2915,188,Memory Analysis,Memory Analysis 84
195,196,3220,74,Artifficial Intelligence,Artifficial Intelligence 87
196,197,8835,199,Animation,Animation 92
197,198,5250,145,Machine Learning,Machine Learning 30
198,199,1248,66,Autonomous Robotics,Autonomous Robotics 27
199,200,4906,140,Semantic Web,Semantic Web 1
200,201,4024,183,Algorithms Analysis,Algorithms Analysis 9
201,202,6722,55,Semantic Web,Semantic Web 55
202,203,4609,170,CPU Analysis,CPU Analysis 98
203,204,9880,138,Algorithms Analysis,Algorithms Analysis 49
204,205,6273,95,Algorithms Analysis,Algorithms Analysis 74
205,206,4837,121,Algorithms Analysis,Algorithms Analysis 52
206,207,3436,149,Autonomous Robotics,Autonomous Robotics 27
207,208,698,167,Autonomous Robotics,Autonomous Robotics 26
208,209,5532,176,Animation,Animation 58
209,210,120,191,Unity Games,Unity Games 91
210,211,8353,58,Containers,Containers 91
211,212,192,195,Memory Analysis,Memory Analysis 20
212,213,8909,113,Security,Security 53
213,214,5095,188,Memory Analysis,Memory Analysis 89
214,215,146,57,Grid Computing,Grid Computing 38
215,216,9062,90,Compilers,Compilers 26
216,217,9363,20,Unity Games,Unity Games 19
217,218,1363,76,Algorithms Analysis,Algorithms Analysis 43
218,219,7152,7,Cluster Computing,Cluster Computing 7
219,220,9253,130,Compilers,Compilers 81
220,221,6870,99,Autonomous Robotics,Autonomous Robotics 83
221,222,7585,67,NLP,NLP 94
222,223,4808,153,Artifficial Intelligence,Artifficial Intelligence 4
223,224,9524,46,Memory Analysis,Memory Analysis 60
224,225,9420,172,Algorithms Analysis,Algorithms Analysis 55
225,226,7710,12,Unity Games,Unity Games 93
226,227,2972,159,Memory Analysis,Memory Analysis 75
